ID,Impact Bond Name - (Value),Alternative Names - (Value),Stage of Development - (Value),Stage of Development - (Source ID's),Social Investment Prototype - (Value),Dates - Date outcomes contract signed - (Value),Dates - Date contracts between all parties signed - (Value),Dates - Anticipated completion date - (Value),Dates - Actual completion date - (Value),Dates - Start date of service provision - (Value),Dates - Anticipated end date of service provision - (Value),Dates - Actual end date of service provision - (Value),Dates - Anticipated duration of service provision - (Value),Dates - Actual duration of service provision - (Value),Dates - (Source ID's),Dates - (Notes),Jurisdiction - Jurisdiction - (Value),Jurisdiction - (Source ID's),Jurisdiction - (Notes),Overall project finance - Total investment commitment - Currency - (Value),Overall project finance - Total investment commitment - Amount - Min - (Value),Overall project finance - Total investment commitment - Amount - Exact - (Value),Overall project finance - Total investment commitment - Amount - Max - (Value),Overall project finance - Total investment commitment - Amount USD - Min - (Value),Overall project finance - Total investment commitment - Amount USD - Exact - (Value),Overall project finance - Total investment commitment - Amount USD - Max - (Value),Overall project finance - Maximum potential outcome payment - Currency - (Value),Overall project finance - Maximum potential outcome payment - Amount - (Value),Overall project finance - Maximum potential outcome payment - Amount USD - (Value),Overall project finance - Maximum potential loss - (Value),Overall project finance - Maximum potential return type - (Value),Overall project finance - Maximum potential return - (Value),Overall project finance - Configuration of the Contracting Parties - (Value),Overall project finance - Investor repayment - (Value),Overall project finance - Total outcome payments made - Currency - (Value),Overall project finance - Total outcome payments made - Amount - (Value),Overall project finance - Total outcome payments made - Amount USD - (Value),Overall project finance - (Source ID's),Overall project finance - (Notes),Investment Details - Total Funds Invested - Latest - Currency - (Value),Investment Details - Total Funds Invested - Latest - Amount - (Value),Investment Details - Total Funds Invested - Latest - Amount USD - (Value),Investment Details - Total Funds Invested - Latest - Date - (Value),Investment Details - Internal Rate of Return - Target - (Value),Investment Details - Internal Rate of Return - Latest - (Value),Investment Details - Internal Rate of Return - Date - (Value),Investment Details - (Source ID's),Investment Details - (Notes),Purpose and classifications - Social challenge - (Value),Purpose and classifications - Intervention - (Value),Purpose and classifications - Policy sector - (Value),Purpose and classifications - Primary SDG goal - (Value),Purpose and classifications - Secondary SDG goals - (Value),Purpose and classifications - Primary SDG target - (Value),Purpose and classifications - Secondary SDG targets - (Value),Purpose and classifications - (Source ID's),Purpose and classifications - (Notes),Service and beneficiaries - Target population - (Value),Service and beneficiaries - Targeted number of unique service users or beneficiaries (total) - (Value),Service and beneficiaries - Unit type of targeted service users or beneficiaries - (Value),Service and beneficiaries - Unit description of targeted service user or beneficiaries - (Value),Service and beneficiaries - Actual number of unique service users or beneficiaries engaged (total) - (Value),Service and beneficiaries - Unit type of actual service users or beneficiaries engaged - (Value),Service and beneficiaries - Unit description of actual service user or beneficiaries engaged - (Value),Service and beneficiaries - (Source ID's),Service and beneficiaries - (Notes),Changes to project due to COVID-19 - (Value),Changes to project due to COVID-19 - (Source ID's),Notes - (Value)
INDIGO-POJ-0274,EducAid - Sierra Leone Education Innovation Fund,EducAid  ,Implementation,source1,,2022-09,,,,2022-09,2025-06,,,,source1,,,,,,,,,,,,USD,2210792,2210792,,,,,,,,,source1,,,,,,,,,,,Improving the educational outcomes for some of the most disadvantaged children in Sierra Leone.,The Sierra Leone Education Innovation Challenge (SLEIC) is an outcomes-based fund through which 5 Grantees (providers and/or social investors) will implement 5 unique education interventions across five distinct geographical lots that cover all the districts in the country. This is one of the 5 interventions.,Education,4,,,,"source1, source2",,School children from P1 - P6 in primary public schools,26866,Individual,,,,,source1,"The five SLEIC projects will work with 134,000 children in Sierra Leone. EducAid project will work with 26866 students in 65 schools.",,,
INDIGO-POJ-0275,Street Child - Sierra Leone Education Innovation Fund,Street Child,Implementation,source1,,2022-09,,,,2022-09,2025-06,,,,source1,,,,,,,,,,,,USD,2154036,2154036,,,,,,,,,source1,,,,,,,,,,,Improving the educational outcomes for some of the most disadvantaged children in Sierra Leone.,The Sierra Leone Education Innovation Challenge (SLEIC) is an outcomes-based fund through which 5 Grantees (providers and/or social investors) will implement 5 unique education interventions across five distinct geographical lots that cover all the districts in the country. This is one of the 5 interventions.,Education,4,,,,"source1, source2",,School children from P1 - P6 in primary public schools,25626,Individual,,,,,source1,"The five SLEIC projects will work with 134,000 children in Sierra Leone. Streetchild project will work with 25626 students and 62 schools. ",,,
INDIGO-POJ-0276,Rising Academy Network - Sierra Leone Education Innovation Fund,Rising Academy Network,Implementation,source1,,2022-09,,,,2022-09,2025-06,,,,source1,,,,,,,,,,,,USD,2217949,2217949,,,,,,,,,source1,,,,,,,,,,,Improving the educational outcomes for some of the most disadvantaged children in Sierra Leone.,The Sierra Leone Education Innovation Challenge (SLEIC) is an outcomes-based fund through which 5 Grantees (providers and/or social investors) will implement 5 unique education interventions across five distinct geographical lots that cover all the districts in the country. This is one of the 5 interventions.,Education,4,,,,"source1, source2",,School children from P1 - P6 in primary public schools,27280,Individual,,,,,source1,"The five SLEIC projects will work with 134,000 children in Sierra Leone. Rising Academy Network will work with 27280 students and 66 schools. ",,,
INDIGO-POJ-0280,Her Heart Her Way,,Implementation,source1,NO,,,,,2022-10,,,,,source1,,CA,source1,,CAD,,600000,,,444000,,,,,,,,,,,,,source1,,,,,,,,,,,"Women tend to have specific and unique heart health needs and experience heart health differently than men, especially considering the signs of heart disease in women are more likely to go unrecognized.","This social impact bond is designed to reduce the risk of heart disease in women, as measured by improved systolic blood pressure and increased physical activity. ",Health,3,,,,source1,,"Winnipeg women with increased risk of cardiovascular disease, including high cholesterol and high blood pressure, who want support to change lifestyle risk factors related to diet, weight, physical activity, stress, alcohol or commercial tobacco use.",,Individual,,,,,source1,,,,
INDIGO-POJ-0281,Restoring The Sacred Bond,,Implementation,source1,NO,,,,,2019-09,,,,,source2,,CA,source1,,CAD,1000000,,,740000,,,,,,,,,,,,,,source2,,,,,,,,,,,Infants are apprehended into the child welfare system in the days and months after birth. This is far too common in Manitoba,"Indigenous mothers are paired with a birth helper to provide stronger, culturally-appropriate support before, during and after the birth of her child for up to one year. ",Child and family welfare,3,,,,"source1,source2",,At-risk expectant mothers,200,Individual,,,,,source3,,,,
INDIGO-POJ-0282,Refugee Integration Support and Employment (RISE) - North East,Refugee Better Outcomes Partnership - North East,Implementation,source1,NO,2022-01,,,,2021-11,2024-03,,,,source1,,GB,source1,,GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refugee Integration in the UK,"This initiative aims to increase the self-sufficiency and integration of newly granted refugees, helping them to move into work, learn English, access housing and build links in their local communities. It will encourage new partnerships and evaluate activities to better understand what works for refugees. 
",Employment and training,,,,,source1,,The project is working with those who have been granted refugee status or humanitarian protection since 24 February 2020 and are economically active (actively seeking work or ready to take active steps towards securing work).,,Individual,,,,,source1,,,,
INDIGO-POJ-0283,Refugee Transitions West Midlands,,Implementation,source1,NO,2022-01,,,,2021-09,2024-03,,,,source1,,GB,source1,,GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refugee Integration in the UK,"This initiative aims to increase the self-sufficiency and integration of newly granted refugees, helping them to move into work, learn English, access housing and build links in their local communities. It will encourage new partnerships and evaluate activities to better understand what works for refugees. 
",Employment and training,,,,,source1,,The project is working with those who have been granted refugee status or humanitarian protection since 24 February 2020 and are economically active (actively seeking work or ready to take active steps towards securing work).,,Individual,,,,,source1,,,,
INDIGO-POJ-0284,Greater Manchester Refugee Integration Partnership,,Implementation,source1,NO,2022-01,,,,2021-09,2024-03,,,,source1,,GB,source1,,GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refugee Integration in the UK,"This initiative aims to increase the self-sufficiency and integration of newly granted refugees, helping them to move into work, learn English, access housing and build links in their local communities. It will encourage new partnerships and evaluate activities to better understand what works for refugees. 
",Employment and training,,,,,source1,,The project is working with those who have been granted refugee status or humanitarian protection since 24 February 2020 and are economically active (actively seeking work or ready to take active steps towards securing work).,,Individual,,,,,source1,,,,
INDIGO-POJ-0285,"Stevig Staan (Standing Strong) - Limburg, Netherlands",Stevig Staan,Implementation,source1,,2022-12,,2030-05,,2023-01,2028-01,,60,,"source1,source2,source5",,,,,EUR,,1800000,,,1530000,,EUR,3838556,3262772.6,,,,,,,,,"source1,source5","3,838,556 EUR is the maximum potential outcomes payment from outcome payers to SPV. After VAT, this is 3.172.360 EUR. The total project will cost 2,85 million with 300.000 as a grant (investment is revolving). 3.172.360 - 750.000 (revolving part) is 2.422.360 which goes back to investors (with an initial investment of 1,8 million EUR).",,,,,,,,,,The senior population (70+) in the Northern- Limburg region (a province in the Netherlands) is approximately 40.000. The senior population experiences about 28.900 fall incidents per year. This leads to 2.800 treaments in the Emergency Room. ,A falls prevention programme for senior population. ,Health,3,,,,"source1,source3",,"Senior citizens aged 70 or older from North Limburg, Netherlands (Municipality of Beesel, Bergen, Gennep, Horst aan de Maas, Peel en Maas, Venlo and Venray), they live independently and have a high risk of falling (mobility/balancing problems or history of falling).",2500,Individual,,,,,source1,,,,
INDIGO-POJ-0286,Ministry of Justice - Japan SIB Pilot,,Implementation,source1,,2021-08,,2024-02,,2021-08,2024-02,,,,source1,,,,,,,,,,,,JPY,71220000,648929.3849658314,,,,,,,,,source1,,,,,,,,,,,"Obstacles to juvenile delinquents' access to higher education, leading to reoffending in some instances. ",Tailored support plan and in-person and online lessons to develop academic skills and study habits. ,Criminal justice,,,,,source1,,Juvenile training school parolees wishing to pursue further education ,80,Individual,,,,,source1,,,,
INDIGO-POJ-0287,Reduction in Reoffending in South Auckland - New Zealand,,Complete,source2,NO,2017-08,,,,2017-09,2023-08,2023-10,72,74,"source1, source2",,,,,NZD,,6000000,,,4255319.14893617,,NZD,24000000,17021276.59574468,,,,,,,,,,,,,,,,,,,,Youth offenders - a social bond designed to reduce youth reoffending in South Auckland,Multi-disciplinary services to reduce reoffending amongst higher risk youth in South Auckland.,Criminal justice,16,"4, 8",,,"source1, source2",,Offenders aged between 13 and 18 years old who have offended and have an elevated risk of reoffending as measured by the NZ Police YORST assessment,1000,Individual,"1000 clients, young people (generally between 14 and 17 years old) from South Auckland, to be enrolled in a new programme, with enrolment starting from 1 September 2017 and stopping on 31 August 2022",607,Individual,607 young people (rangatahi) and their families (whānau) impacted directly by this contract,"source1, source2",,Continue on outcomes contract without variations,source2,"607 clients had been enrolled, against a target, and cap, of 1000. Final levels of enrolment were impacted by covid lockdowns. "
INDIGO-POJ-0288,Imagine Social Outcomes-Based Contract (SOBC),Imagine SIB,Implementation,source1,NO,2023-01,,2025-06,,,2025-06,,27,,source1,,,source1,,ZAR,87000000,87665187,,,4673532.81,,ZAR,87665187,4663273.23,,,,,,,,,,Notes on Finance Model ,,,,,,,,source2,,To improve the sexual and reproductive health of vulnerable Adolescent Girls and Young Women  (AGYW) in South Africa,"Imagine is an innovative and data driven programme that will be implemented in 14 high schools in 2 subdistricts in SA, Moretele in North West province and Newcastle in Kwazulu-Natal province",Health,3,,3.7,,source1,,Vulnerable Adolescent Girls and Young Women (AGYW),46254,Individual,,,,,source1,,,,
INDIGO-POJ-0289,Promoción de habilidades de lectoescritura en Chile - Promoting literacy skills in Chile,,Implementation,source1,NO,2023-05,,,,2023-03,2024-12,,,,source1,,,,,CLP,,330000000,,412500,,,CLP,550000000,687500,,,,,,,,,source1,,,,,,,,,,,,"The project aims to develop reading and writing skills in students from 1st and 2nd grade in schools with high vulnerability rates in different regions of Chile. The students will be treated by one of 4 service providers with extensive experience. These organizations use methodologies that include training and accompaniment for teachers, delivery of innovative teaching materials, workshops, and student tutoring, among others. It is expected that, within each year, students will show a significant increase in the score obtained in the Dialect test between the pre and post-test.",Education,,,,,source1,,School students,3000,Individual,,,,,source1,More than 3000 service users,,,
INDIGO-POJ-0290,Promoción de la Retención y Asistencia Escolar - Promoting retention and school attendance in Chile,,Implementation,source1,NO,2023-05,,,,2023-03,2024-12,,,,source1,,CL,,,CLP,,200000000,,,250000,,CLP,532000000,665000,,,,,,,,,source1,,,,,,,,,,,,"This project seeks to reduce school exclusion and increase attendance in students from highly vulnerable schools in the Metropolitan Region of Chile. The intervention called ""Cada Día Cuenta"" (""Each day counts"")promotes attendance by emphasizing its relevance to students' personal, social, and professional development. The program involves the entire school community to promote attendance, holding workshops, organising coordination meetings with school teams, delivering graphic materials, among other activities. Although results will be measured in grades 7, 8, I, II, and III, the intervention will cover all levels.",Education,,,,,source1,,School students,5500,Individual,,,,,source1,,,,
INDIGO-POJ-0291,Mine Fields to Rice Fields DIB,,Implementation,source1,NO,2023-03,,,,2023-04,2025-03,,24,,source1,,,,,USD,,410000,,,410000,,USD,1719000,1719000,,,,,,,,,source1,,,,,,,,,,,Hidden landmines and other explosive remnants of war,"The Mine Fields to Rice Fields DIB – the first Impact Bond in mine action – provides integrated support for landmine clearance and agricultural development in Cambodia. First, it aims to clear approx. 3.8 million sqm of land in Preah Vihear, one of the most mine-affected provinces in Cambodia, to increase safety and freedom of movement for local communities and allow farmers to make more productive use of their land. After clearance, approx. 80 farmers with land in mine-affected areas will be supported to grow organic rice through inputs, training and marketing support. The aim is to increase their net income by 20-35% over two years, thereby reducing levels of household poverty. The DIB is a two-year pilot that aims to trial the effectiveness of an Impact Bond model to better integrate two distinct activities (e.g., mine action and agricultural development support) and understand whether this model could be scaled and replicated, both in Cambodia and to other mine-affected countries.",Agriculture and environment,,,,,"source1,source2",,Small-holder rice farmers with land in mine-affected areas,,,,,,,"source1,source2",,,,
